"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2023","1,011.75","1,013.30","1,013.50","1,011.00","","-0.10%"
"06/09/2023","1,012.80","1,015.40","1,023.60","1,000.20","19.19K","-0.11%"
"06/08/2023","1,013.90","1,025.00","1,033.00","1,010.90","17.34K","-1.04%"
"06/07/2023","1,024.60","1,039.40","1,051.80","1,022.30","21.21K","-1.36%"
"06/06/2023","1,038.70","1,035.50","1,044.30","1,026.60","16.30K","0.22%"
"06/05/2023","1,036.40","1,007.70","1,043.00","1,006.70","26.56K","2.69%"
"06/04/2023","1,009.25","1,006.15","1,012.00","1,006.15","","0.57%"
"06/02/2023","1,003.50","1,010.00","1,021.00","1,002.00","15.90K","-0.65%"
"06/01/2023","1,010.10","998.70","1,015.90","997.40","18.93K","1.11%"
"05/31/2023","999.00","1,025.30","1,029.40","997.80","27.04K","-2.24%"
"05/30/2023","1,021.90","1,028.10","1,046.00","1,021.20","21.63K","-1.08%"
"05/29/2023","1,033.10","1,027.10","1,039.40","1,025.55","","0.52%"
"05/28/2023","1,027.75","1,028.05","1,028.90","1,025.30","","-0.82%"
"05/26/2023","1,036.20","1,026.90","1,040.10","1,024.60","","0.17%"
"05/25/2023","1,034.40","1,030.50","1,037.40","1,020.80","","-0.31%"
"05/24/2023","1,037.60","1,058.90","1,063.80","1,026.30","","-2.64%"
"05/23/2023","1,065.70","1,076.80","1,079.40","1,057.10","","-1.82%"
"05/22/2023","1,085.40","1,070.00","1,087.90","1,065.80","","1.05%"
"05/21/2023","1,074.10","1,071.50","1,074.60","1,070.00","","-0.90%"
"05/19/2023","1,083.80","1,059.60","1,084.20","1,055.00","","1.64%"
"05/18/2023","1,066.30","1,079.20","1,080.80","1,055.00","","-2.24%"
"05/17/2023","1,090.70","1,067.70","1,086.10","1,067.40","","1.46%"
"05/16/2023","1,075.00","1,070.50","1,078.70","1,061.80","","-0.72%"
"05/15/2023","1,082.80","1,057.60","1,079.10","1,057.50","","1.79%"
"05/14/2023","1,063.80","1,059.40","1,063.85","1,058.20","","-0.30%"
"05/12/2023","1,067.00","1,104.30","1,111.70","1,058.00","","-3.44%"
"05/11/2023","1,105.00","1,124.60","1,129.80","1,094.70","","-1.26%"
"05/10/2023","1,119.10","1,114.90","1,137.90","1,110.00","","0.28%"
"05/09/2023","1,116.00","1,083.30","1,117.80","1,076.00","21.26K","2.60%"
"05/08/2023","1,087.70","1,067.40","1,096.90","1,065.40","","1.96%"
"05/07/2023","1,066.80","1,067.10","1,070.20","1,065.90","","-0.14%"
"05/05/2023","1,068.30","1,054.50","1,069.60","1,043.60","","1.40%"
"05/04/2023","1,053.55","1,069.85","1,073.85","1,043.20","","-0.78%"
"05/03/2023","1,061.80","1,074.70","1,085.50","1,057.20","","-1.53%"
"05/02/2023","1,078.30","1,065.90","1,079.70","1,052.70","","1.28%"
"05/01/2023","1,064.70","1,090.00","1,103.80","1,062.30","","-1.55%"
"04/30/2023","1,081.45","1,088.50","1,088.50","1,081.45","","-0.79%"
"04/28/2023","1,090.10","1,093.00","1,096.80","1,075.90","","-0.28%"
"04/27/2023","1,093.20","1,103.20","1,114.40","1,085.30","","-1.16%"
"04/26/2023","1,106.00","1,104.90","1,124.00","1,100.10","","0.71%"
"04/25/2023","1,098.20","1,099.90","1,106.30","1,077.00","","0.05%"
"04/24/2023","1,097.70","1,142.50","1,142.50","1,094.90","","-3.31%"
"04/23/2023","1,135.25","1,140.80","1,142.60","1,133.05","","-0.30%"
"04/21/2023","1,138.70","1,110.00","1,148.90","1,102.00","","2.81%"
"04/20/2023","1,107.60","1,103.60","1,112.50","1,094.50","","0.17%"
"04/19/2023","1,105.70","1,093.90","1,108.50","1,072.00","","0.77%"
"04/18/2023","1,097.30","1,062.00","1,101.90","1,059.70","","3.56%"
"04/17/2023","1,059.60","1,058.50","1,069.90","1,050.20","14.00K","0.54%"
"04/16/2023","1,053.90","1,056.20","1,059.40","1,053.30","","-0.01%"
"04/14/2023","1,054.00","1,062.10","1,071.10","1,046.70","19.96K","-1.08%"
"04/13/2023","1,065.50","1,029.10","1,070.00","1,023.40","","3.70%"
"04/12/2023","1,027.50","1,005.50","1,034.00","1,004.10","","2.23%"
"04/11/2023","1,005.10","1,003.50","1,018.60","1,000.60","","0.22%"
"04/10/2023","1,002.90","1,012.50","1,026.70","995.80","11.43K","-1.36%"
"04/09/2023","1,016.75","1,018.60","1,021.90","1,010.50","","0.00%"
"04/06/2023","1,016.80","1,009.20","1,021.70","1,004.30","10.77K","0.93%"
"04/05/2023","1,007.40","1,029.70","1,036.90","1,000.90","","-2.10%"
"04/04/2023","1,029.00","998.90","1,032.20","991.00","","3.27%"
"04/03/2023","996.40","1,001.00","1,009.20","987.10","","0.40%"
"04/02/2023","992.40","998.70","999.15","992.40","","-1.07%"
"03/31/2023","1,003.10","997.60","1,005.00","983.00","","0.07%"
"03/30/2023","1,002.40","979.50","1,003.60","976.60","","1.71%"
"03/29/2023","985.50","972.50","980.90","959.50","","1.40%"
"03/28/2023","971.90","985.60","988.90","965.00","","-1.08%"
"03/27/2023","982.50","993.80","993.90","971.60","","-0.82%"
"03/26/2023","990.65","989.75","993.90","989.75","","0.69%"
"03/24/2023","983.90","992.50","995.30","962.20","16.70K","-0.91%"
"03/23/2023","992.90","991.40","999.00","979.30","16.74K","0.60%"
"03/22/2023","987.00","978.00","1,007.20","977.30","22.18K","1.05%"
"03/21/2023","976.70","997.80","1,000.80","966.90","18.38K","-2.02%"
"03/20/2023","996.80","984.00","1,008.20","969.50","18.62K","1.71%"
"03/19/2023","980.00","981.15","984.85","978.10","","0.14%"
"03/17/2023","978.60","980.50","1,005.20","966.50","23.92K","0.15%"
"03/16/2023","977.10","967.70","983.90","965.10","15.65K","0.70%"
"03/15/2023","970.30","988.90","997.70","953.00","23.35K","-2.71%"
"03/14/2023","997.30","1,009.40","1,009.50","983.30","25.81K","-0.76%"
"03/13/2023","1,004.90","965.30","1,012.00","960.40","31.10K","3.96%"
"03/12/2023","966.65","964.65","975.85","964.65","","0.46%"
"03/10/2023","962.20","946.10","975.80","933.00","25.70K","1.36%"
"03/09/2023","949.30","939.10","962.50","934.00","23.37K","0.92%"
"03/08/2023","940.60","934.60","949.70","931.90","18.66K","0.46%"
"03/07/2023","936.30","978.60","983.70","931.00","27.42K","-4.32%"
"03/06/2023","978.60","984.00","984.00","966.00","22.30K","0.09%"
"03/05/2023","977.70","983.65","983.65","977.70","","-0.17%"
"03/03/2023","979.40","964.40","986.30","964.40","21.49K","1.68%"
"03/02/2023","963.20","959.60","967.70","948.90","15.43K","0.15%"
"03/01/2023","961.80","955.70","973.40","951.20","24.59K","0.66%"
"02/28/2023","955.50","941.10","962.10","931.50","20.19K","1.44%"
"02/27/2023","941.90","909.10","953.50","903.90","24.31K","3.36%"
"02/26/2023","911.25","907.90","912.25","905.50","","0.40%"
"02/24/2023","907.60","947.40","952.00","906.30","22.36K","-3.98%"
"02/23/2023","945.20","950.95","963.45","940.90","","-0.82%"
"02/22/2023","953.00","945.60","963.85","936.75","","0.79%"
"02/21/2023","945.55","928.90","949.80","921.80","","1.78%"
"02/20/2023","929.00","918.50","942.25","916.25","","1.14%"
"02/19/2023","918.55","916.55","921.30","916.55","","-0.31%"
"02/17/2023","921.40","922.00","924.50","907.80","","-1.03%"
"02/16/2023","931.00","917.80","933.50","909.00","","1.44%"
"02/15/2023","917.80","937.50","938.20","915.40","","-2.28%"
"02/14/2023","939.20","960.20","964.30","931.80","26.56K","-2.11%"
"02/13/2023","959.40","950.50","963.10","938.10","","0.97%"
"02/12/2023","950.15","950.45","951.55","949.45","","-0.17%"
"02/10/2023","951.80","960.40","972.50","949.00","","-1.29%"
"02/09/2023","964.20","978.40","992.80","957.50","","-2.33%"
"02/08/2023","987.20","981.00","996.80","975.80","","0.10%"
"02/07/2023","986.20","978.10","988.30","968.00","","1.19%"
"02/06/2023","974.60","981.50","989.90","971.40","23.78K","-0.82%"
"02/05/2023","982.65","980.25","984.25","977.50","","0.24%"
"02/03/2023","980.30","1,031.50","1,042.40","977.90","","-5.06%"
"02/02/2023","1,032.60","1,014.00","1,046.70","1,012.00","","3.08%"
"02/01/2023","1,001.70","1,020.70","1,023.40","997.00","","-1.90%"
"01/31/2023","1,021.10","1,017.50","1,026.70","996.90","21.97K","0.05%"
"01/30/2023","1,020.60","1,017.70","1,025.80","1,011.50","","-0.17%"
"01/29/2023","1,022.35","1,018.65","1,022.45","1,017.90","","0.55%"
"01/27/2023","1,016.80","1,025.10","1,029.60","1,004.10","","-0.61%"
"01/26/2023","1,023.00","1,047.00","1,050.40","1,021.30","","-2.21%"
"01/25/2023","1,046.10","1,066.60","1,067.10","1,038.60","","-1.94%"
"01/24/2023","1,066.80","1,058.00","1,068.80","1,050.70","","0.99%"
"01/23/2023","1,056.30","1,055.50","1,059.50","1,035.90","","0.45%"
"01/22/2023","1,051.60","1,051.95","1,054.70","1,051.10","","0.36%"
"01/20/2023","1,047.80","1,043.50","1,060.40","1,026.40","","0.64%"
"01/19/2023","1,041.10","1,046.10","1,052.60","1,015.00","","-0.25%"
"01/18/2023","1,043.70","1,047.20","1,085.10","1,036.50","","-0.31%"
"01/17/2023","1,046.90","1,074.70","1,082.10","1,044.10","","-2.32%"
"01/16/2023","1,071.80","1,074.50","1,082.15","1,061.35","","-0.25%"
"01/15/2023","1,074.45","1,075.65","1,077.45","1,074.40","","0.18%"
"01/13/2023","1,072.50","1,079.60","1,086.00","1,055.10","","-1.09%"
"01/12/2023","1,084.30","1,081.50","1,092.50","1,067.00","","0.00%"
"01/11/2023","1,084.30","1,090.10","1,117.00","1,078.80","","-0.39%"
"01/10/2023","1,088.50","1,091.30","1,097.90","1,082.50","","-0.92%"
"01/09/2023","1,098.60","1,109.50","1,115.60","1,089.30","","-1.33%"
"01/08/2023","1,113.45","1,105.15","1,114.95","1,105.15","","0.83%"
"01/06/2023","1,104.30","1,070.40","1,107.00","1,057.30","","3.24%"
"01/05/2023","1,069.60","1,091.90","1,099.70","1,066.10","","-2.08%"
"01/04/2023","1,092.30","1,095.70","1,112.10","1,086.90","","-0.09%"
"01/03/2023","1,093.30","1,086.90","1,108.70","1,080.80","","0.70%"
"01/02/2023","1,085.75","1,085.85","1,095.35","1,083.10","","0.26%"
"12/30/2022","1,082.90","1,069.80","1,087.60","1,063.10","","1.68%"
"12/29/2022","1,065.00","1,018.60","1,074.10","1,016.60","","4.43%"
"12/28/2022","1,019.80","1,028.75","1,045.55","1,015.15","","-1.25%"
"12/27/2022","1,032.70","1,032.60","1,047.60","1,014.00","","-0.32%"
"12/26/2022","1,036.00","1,039.65","1,043.95","1,034.80","","0.62%"
"12/23/2022","1,029.60","982.70","1,035.10","979.50","16.45K","4.57%"
"12/22/2022","984.60","1,002.60","1,009.60","971.40","20.62K","-1.74%"
"12/21/2022","1,002.00","1,013.30","1,017.50","996.60","15.63K","-1.09%"
