"Date","Price","Open","High","Low","Vol.","Change %"
"10/12/2023","188,000","189,600","189,700","187,700","0.16K","-0.74%"
"10/11/2023","189,400","189,100","191,400","189,100","0.00K","0.53%"
"10/10/2023","188,400","192,700","192,800","187,700","573.81K","-1.98%"
"10/09/2023","192,200","192,200","192,200","192,200","","0.00%"
"10/06/2023","192,200","191,000","192,600","189,600","332.79K","0.89%"
"10/05/2023","190,500","191,300","192,100","189,500","0.10K","-0.16%"
"10/04/2023","190,800","188,300","193,200","187,100","0.50K","-0.16%"
"10/03/2023","191,100","191,100","191,100","191,100","","0.00%"
"09/27/2023","191,100","189,200","192,400","189,000","321.70K","0.21%"
"09/26/2023","190,700","191,600","192,900","189,900","0.06K","-1.14%"
"09/25/2023","192,900","191,700","193,500","189,600","0.14K","0.73%"
"09/24/2023","191,500","191,500","191,500","191,500","","0.00%"
"09/22/2023","191,500","189,600","192,400","189,200","319.18K","-0.21%"
"09/21/2023","191,900","194,400","194,400","191,600","0.11K","-1.54%"
"09/20/2023","194,900","190,100","196,000","190,100","0.03K","2.58%"
"09/19/2023","190,000","191,500","193,200","190,000","0.02K","-0.52%"
"09/18/2023","191,000","191,300","192,200","190,200","0.01K","-0.62%"
"09/17/2023","192,200","192,200","192,200","192,200","","0.00%"
"09/15/2023","192,200","190,700","192,700","189,100","511.61K","0.79%"
"09/14/2023","190,700","191,000","191,000","188,600","0.01K","0.47%"
"09/13/2023","189,800","187,400","190,700","187,300","0.10K","1.93%"
"09/12/2023","186,200","186,500","188,400","185,600","272.91K","0.38%"
"09/11/2023","185,500","185,700","186,300","184,400","194.26K","-0.11%"
"09/10/2023","185,700","185,700","185,700","185,700","","0.00%"
"09/08/2023","185,700","187,500","187,500","185,200","190.72K","-0.80%"
"09/07/2023","187,200","186,000","187,200","185,500","0.10K","0.27%"
"09/06/2023","186,700","186,000","188,300","186,000","0.14K","0.05%"
"09/05/2023","186,600","186,500","186,900","185,600","0.03K","-0.37%"
"09/04/2023","187,300","186,400","187,400","185,600","0.00K","-0.05%"
"09/03/2023","187,400","187,400","187,400","187,400","","0.00%"
"09/01/2023","187,400","188,000","188,900","186,700","280.29K","-0.90%"
"08/31/2023","189,100","187,400","189,100","186,200","0.13K","0.69%"
"08/30/2023","187,800","188,600","189,300","187,800","0.00K","0.59%"
"08/29/2023","186,700","185,500","188,200","185,400","315.80K","0.70%"
"08/28/2023","185,400","186,200","186,900","184,700","297.83K","-0.43%"
"08/27/2023","186,200","186,200","186,200","186,200","","0.00%"
"08/25/2023","186,200","184,200","187,000","184,200","363.25K","-0.11%"
"08/24/2023","186,400","188,400","189,100","186,000","0.23K","-0.59%"
"08/23/2023","187,500","186,800","188,700","186,000","0.05K","-0.21%"
"08/22/2023","187,900","186,200","187,900","186,200","0.14K","0.97%"
"08/21/2023","186,100","187,000","187,200","185,300","0.09K","0.00%"
"08/20/2023","186,100","186,100","186,100","186,100","","0.00%"
"08/18/2023","186,100","182,600","187,500","182,600","419.45K","0.70%"
"08/17/2023","184,800","185,000","185,400","182,600","0.09K","-0.54%"
"08/16/2023","185,800","187,300","188,100","185,400","0.07K","-1.59%"
"08/15/2023","188,800","188,800","188,800","188,800","","0.00%"
"08/14/2023","188,800","190,000","190,500","188,300","295.17K","-0.89%"
"08/13/2023","190,500","190,500","190,500","190,500","","0.00%"
"08/11/2023","190,500","188,900","193,200","188,400","524.01K","1.11%"
"08/10/2023","188,400","189,000","190,300","188,100","487.64K","-0.53%"
"08/09/2023","189,400","188,400","189,800","187,600","0.08K","0.53%"
"08/08/2023","188,400","188,200","190,400","187,700","0.09K","0.21%"
"08/07/2023","188,000","191,000","191,100","187,300","0.01K","-2.19%"
"08/06/2023","192,200","192,200","192,200","192,200","","0.00%"
"08/04/2023","192,200","191,600","193,400","190,500","371.13K","0.26%"
"08/03/2023","191,700","193,100","194,300","190,800","0.73K","-0.42%"
"08/02/2023","192,500","197,800","198,800","192,400","0.30K","-3.46%"
"08/01/2023","199,400","196,000","199,600","195,100","0.11K","1.73%"
"07/31/2023","196,000","197,900","198,200","195,100","0.01K","-0.41%"
"07/30/2023","196,800","196,800","196,800","196,800","","0.00%"
"07/28/2023","196,800","196,500","201,500","196,500","778.34K","-0.51%"
"07/27/2023","197,800","202,000","203,000","194,000","0.36K","-0.45%"
"07/26/2023","198,700","200,500","202,000","195,000","0.08K","-0.90%"
"07/25/2023","200,500","200,000","202,500","199,200","0.75K","0.65%"
"07/24/2023","199,200","199,100","200,500","197,600","612.52K","-0.40%"
"07/23/2023","200,000","200,000","200,000","200,000","","0.00%"
"07/21/2023","200,000","199,700","201,000","198,200","506.51K","-0.25%"
"07/20/2023","200,500","202,000","204,000","200,000","527.67K","-0.74%"
"07/19/2023","202,000","201,500","203,500","200,000","0.02K","0.25%"
"07/18/2023","201,500","204,000","205,000","201,000","498.40K","-0.98%"
"07/17/2023","203,500","207,000","208,500","203,500","0.60K","-2.40%"
"07/16/2023","208,500","208,500","208,500","208,500","","0.00%"
"07/14/2023","208,500","204,500","209,000","204,500","654.41K","2.46%"
"07/13/2023","203,500","204,000","205,000","203,000","0.00K","0.00%"
"07/12/2023","203,500","206,500","206,500","202,500","0.02K","-1.69%"
"07/11/2023","207,000","206,000","207,500","205,000","0.23K","0.73%"
"07/10/2023","205,500","205,000","208,000","202,000","509.91K","0.74%"
"07/09/2023","204,000","204,000","204,000","204,000","","0.00%"
"07/07/2023","204,000","205,500","206,000","202,500","474.94K","-1.21%"
"07/06/2023","206,500","205,000","208,500","204,500","0.06K","0.49%"
"07/05/2023","205,500","208,000","209,500","204,500","0.22K","-1.20%"
"07/04/2023","208,000","208,500","210,000","206,500","423.72K","-0.24%"
"07/03/2023","208,500","207,000","208,500","205,500","0.01K","0.97%"
"07/02/2023","206,500","206,500","206,500","206,500","","0.00%"
"06/30/2023","206,500","204,500","209,000","204,500","543.09K","0.98%"
"06/29/2023","204,500","205,500","206,000","204,000","314.27K","-0.73%"
"06/28/2023","206,000","206,000","206,500","203,000","627.23K","0.00%"
"06/27/2023","206,000","201,000","206,000","201,000","0.63K","2.74%"
"06/26/2023","200,500","200,000","202,500","200,000","0.17K","0.30%"
"06/25/2023","199,900","199,900","199,900","199,900","","0.00%"
"06/23/2023","199,900","201,000","202,000","199,000","347.95K","-1.04%"
"06/22/2023","202,000","203,000","203,500","200,500","0.03K","-0.98%"
"06/21/2023","204,000","197,800","205,000","196,300","2.05K","3.08%"
"06/20/2023","197,900","198,500","199,000","197,000","0.09K","-0.70%"
"06/19/2023","199,300","198,200","199,400","197,200","0.05K","-0.05%"
"06/18/2023","199,400","199,400","199,400","199,400","","0.00%"
"06/16/2023","199,400","201,000","201,500","198,000","544.05K","-0.15%"
"06/15/2023","199,700","201,500","202,000","199,400","353.85K","-0.65%"
"06/14/2023","201,000","198,800","201,500","198,500","658.88K","1.52%"
"06/13/2023","198,000","196,600","198,200","196,200","0.01K","0.92%"
"06/12/2023","196,200","197,500","198,400","195,100","0.00K","-0.46%"
"06/11/2023","197,100","197,100","197,100","197,100","","0.00%"
"06/09/2023","197,100","197,400","198,300","196,300","414.51K","0.20%"
"06/08/2023","196,700","195,600","197,200","194,400","0.00K","0.15%"
"06/07/2023","196,400","202,500","203,000","195,400","954.59K","-2.29%"
"06/06/2023","201,000","201,000","201,000","201,000","","0.00%"
"06/05/2023","201,000","201,500","203,500","200,000","425.95K","0.75%"
